Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
2331,2021-06-22,4255,6586,23.0,21.2,61,17.1
4429,2021-06-23,6343,10772,18.3,18.9,2,10.7
4493,2021-06-24,6153,10646,20.6,20.4,3,11.3
5024,2021-06-25,5553,10577,22.6,21.5,2,12.0
6646,2021-06-26,5271,11917,27.6,24.7,53,18.3
5160,2021-06-27,4661,9821,30.0,26.8,51,14.5
3393,2021-06-28,4821,8214,31.5,28.2,51,13.8
3222,2021-06-29,5304,8526,32.7,29.3,1,11.9
3102,2021-06-30,4953,8055,32.9,30.0,51,14.3
2780,2021-07-01,4450,7230,30.8,26.3,65,12.1
4794,2021-07-02,5293,10087,24.5,23.0,63,14.5
7847,2021-07-03,5296,13143,21.4,21.4,51,14.6
11815,2021-07-04,5068,16883,24.3,22.8,2,10.2
6643,2021-07-05,4618,11261,28.2,25.8,2,11.6
3671,2021-07-06,5098,8769,31.3,27.9,1,13.1
3336,2021-07-07,5410,8746,32.8,28.6,61,11.9
2633,2021-07-08,4455,7088,29.6,26.2,63,17.4
3649,2021-07-09,4818,8467,28.9,25.5,65,18.9
7498,2021-07-10,5981,13479,26.4,24.7,3,14.2
5668,2021-07-11,5036,10704,29.6,25.9,61,16.2
3513,2021-07-12,5145,8658,33.1,28.4,53,14.2
3488,2021-07-13,5642,9130,32.9,29.1,2,17.2
3428,2021-07-14,5527,8955,31.2,27.6,63,13.3
4178,2021-07-15,5799,9977,31.4,27.1,51,10.0
4723,2021-07-16,5666,10389,32.6,28.7,1,10.3
6108,2021-07-17,5033,11141,33.0,28.2,63,13.4
6297,2021-07-18,5117,11414,27.3,25.5,3,19.3
3804,2021-07-19,5352,9156,27.9,25.9,2,10.5
3663,2021-07-20,5877,9540,30.0,26.9,1,9.0
3826,2021-07-21,5720,9546,29.2,27.1,53,13.6
4060,2021-07-22,5854,9914,24.8,24.3,1,11.9
4847,2021-07-23,5772,10619,24.8,24.0,2,8.3
6440,2021-07-24,5177,11617,26.8,25.1,51,14.6
5212,2021-07-25,4660,9872,30.4,28.0,51,15.6
2860,2021-07-26,4771,7631,32.2,28.5,51,9.2
3210,2021-07-27,5443,8653,32.6,28.4,1,5.7
3334,2021-07-28,5645,8979,30.1,28.1,1,12.1
3537,2021-07-29,5409,8946,31.5,28.1,51,10.5
4393,2021-07-30,5687,10080,29.2,27.9,51,15.0
6902,2021-07-31,5450,12352,25.0,24.5,3,12.1
3593,2021-08-01,3584,7177,26.6,23.7,61,10.5
4055,2021-08-02,5455,9510,23.6,22.8,2,13.4
3985,2021-08-03,5864,9849,24.4,23.1,2,10.0
4183,2021-08-04,5815,9998,23.6,22.5,3,15.0
4294,2021-08-05,5870,10164,26.1,24.3,2,7.0
4587,2021-08-06,5461,10048,27.6,26.0,2,13.8
4247,2021-08-07,3885,8132,25.0,22.7,53,9.0
6262,2021-08-08,4735,10997,27.4,24.8,1,11.4
3201,2021-08-09,4619,7820,30.1,26.0,63,13.5
2553,2021-08-10,4393,6946,32.3,28.1,53,12.9
2647,2021-08-11,4687,7334,34.1,28.9,61,8.6
3481,2021-08-12,4959,8440,34.5,30.1,1,12.2
2963,2021-08-13,4097,7060,34.7,29.6,63,10.7
5319,2021-08-14,4819,10138,32.2,27.2,63,10.2
5022,2021-08-15,4487,9509,27.1,24.2,63,12.2
2006,2021-08-16,3291,5297,28.2,24.1,61,8.5
3080,2021-08-17,4982,8062,30.4,25.7,53,10.5
2995,2021-08-18,5211,8206,30.7,26.2,61,17.8
3423,2021-08-19,5142,8565,31.2,27.3,51,11.9
3248,2021-08-20,4114,7362,28.7,24.5,63,9.9
5240,2021-08-21,5102,10342,29.3,24.7,63,7.7
4921,2021-08-22,4694,9615,28.8,24.5,51,9.4
3268,2021-08-23,5258,8526,30.8,26.8,53,11.6
3122,2021-08-24,5834,8956,32.3,28.2,1,11.7
2873,2021-08-25,5712,8585,33.8,28.4,51,8.3
2810,2021-08-26,5205,8015,33.6,27.6,63,9.2
3245,2021-08-27,5222,8467,33.4,27.5,63,8.6
5928,2021-08-28,5818,11746,31.8,26.6,51,12.4
4526,2021-08-29,5063,9589,29.4,25.3,3,11.0
2821,2021-08-30,5727,8548,31.4,26.3,61,9.6
2727,2021-08-31,6264,8991,29.9,25.2,53,8.9
1416,2021-09-01,3861,5277,26.5,23.3,63,27.5
3975,2021-09-02,6994,10969,20.1,21.1,1,21.1
4932,2021-09-03,6765,11697,19.8,20.0,3,13.1
7225,2021-09-04,5422,12647,22.2,21.0,2,11.0
5864,2021-09-05,4247,10111,24.2,22.2,61,11.2
5935,2021-09-06,5338,11273,25.5,23.9,55,16.7
3334,2021-09-07,6269,9603,24.8,23.6,1,12.6
3221,2021-09-08,6713,9934,26.9,24.8,51,14.7
3174,2021-09-09,6574,9748,23.9,21.9,61,13.0
4517,2021-09-10,7150,11667,19.3,20.1,2,18.4
6455,2021-09-11,6589,13044,20.2,20.1,3,13.3
5408,2021-09-12,5859,11267,24.8,24.0,1,15.1
2994,2021-09-13,6154,9148,28.8,26.0,2,13.7
3145,2021-09-14,6732,9877,29.9,26.2,51,11.7
3254,2021-09-15,6914,10168,29.0,26.7,51,16.9
2061,2021-09-16,4371,6432,27.7,24.1,63,9.7
3849,2021-09-17,6201,10050,27.3,23.6,55,10.7
6077,2021-09-18,6509,12586,28.4,24.3,51,5.6
5513,2021-09-19,5883,11396,24.9,23.4,3,10.7
3324,2021-09-20,6519,9843,21.7,21.0,2,13.1
3136,2021-09-21,7114,10250,23.7,22.4,51,14.0
1498,2021-09-22,4634,6132,25.5,23.0,63,23.1
2715,2021-09-23,5826,8541,22.0,21.3,63,21.1
4529,2021-09-24,7369,11898,17.8,18.5,3,11.0
7046,2021-09-25,6768,13814,19.0,18.8,1,7.9
5571,2021-09-26,6008,11579,17.2,18.5,0,16.5
2940,2021-09-27,6632,9572,18.5,19.5,1,15.3
2812,2021-09-28,6790,9602,21.6,21.0,61,15.5
3294,2021-09-29,7140,10434,17.6,18.1,1,12.0
3455,2021-09-30,7183,10638,16.4,17.3,3,10.9
4688,2021-10-01,7144,11832,16.3,16.6,3,7.6
7475,2021-10-02,7046,14521,19.4,18.7,1,8.7
5970,2021-10-03,6065,12035,23.6,22.0,3,12.5
3039,2021-10-04,6087,9126,25.1,22.9,63,11.8
2875,2021-10-05,6451,9326,23.6,20.9,61,13.6
2750,2021-10-06,6412,9162,22.4,20.3,51,12.1
3560,2021-10-07,7146,10706,22.3,20.6,3,8.3
4638,2021-10-08,6551,11189,22.5,20.6,3,7.0
7010,2021-10-09,6047,13057,20.6,20.2,3,16.2
5471,2021-10-10,5004,10475,20.9,20.2,51,16.4
3815,2021-10-11,5611,9426,20.2,19.7,3,12.4
2819,2021-10-12,6026,8845,21.3,19.7,51,7.8
3493,2021-10-13,7249,10742,22.7,20.3,51,6.1
4099,2021-10-14,7366,11465,22.7,21.4,3,10.4
5402,2021-10-15,7027,12429,23.6,22.0,3,11.3
4855,2021-10-16,4903,9758,19.9,20.0,63,21.4
4995,2021-10-17,5415,10410,11.0,14.6,3,24.6
3071,2021-10-18,6198,9269,10.7,14.1,1,23.6
3408,2021-10-19,7111,10519,12.2,14.6,0,14.5
3491,2021-10-20,7253,10744,15.8,17.6,1,13.2
4136,2021-10-21,7359,11495,16.8,17.7,1,19.9
5212,2021-10-22,6971,12183,16.8,18.2,3,19.2
6501,2021-10-23,6126,12627,14.0,15.4,3,15.0
5265,2021-10-24,5559,10824,14.5,15.7,3,13.6
2325,2021-10-25,5240,7565,19.9,19.7,63,16.5
2148,2021-10-26,7168,9316,12.8,15.2,63,30.4
2717,2021-10-27,8561,11278,12.5,15.2,3,31.8
2859,2021-10-28,8312,11171,13.6,14.7,3,14.7
939,2021-10-29,2747,3686,13.6,15.0,63,29.6
4584,2021-10-30,7570,12154,14.3,15.0,53,14.4
4093,2021-10-31,6872,10965,12.6,14.3,51,19.7
2470,2021-11-01,6908,9378,9.6,12.1,2,16.8
1161,2021-11-02,4995,6156,6.3,8.2,53,10.0
1952,2021-11-03,7079,9031,3.4,6.8,1,14.5
2150,2021-11-04,6985,9135,3.8,6.7,2,7.6
2923,2021-11-05,6737,9660,3.0,6.3,1,11.8
4118,2021-11-06,6894,11012,3.8,6.9,3,12.0
3194,2021-11-07,6520,9714,5.1,8.3,1,12.4
2163,2021-11-08,7126,9289,8.7,11.5,0,14.0
2561,2021-11-09,7979,10540,11.0,12.8,0,9.7
2714,2021-11-10,8577,11291,12.5,14.1,3,12.0
3413,2021-11-11,8134,11547,12.7,14.2,2,16.8
3397,2021-11-12,6710,10107,13.5,15.0,63,20.5
4025,2021-11-13,6233,10258,5.0,8.6,51,28.6
2476,2021-11-14,5119,7595,2.0,5.9,3,15.3
1514,2021-11-15,5505,7019,2.1,6.7,51,28.5
1774,2021-11-16,6705,8479,2.9,6.0,2,9.5
2119,2021-11-17,7386,9505,7.5,9.6,2,14.1
2394,2021-11-18,7094,9488,12.3,14.6,55,20.9
1855,2021-11-19,5973,7828,1.0,6.1,51,21.8
2589,2021-11-20,5412,8001,0.5,3.8,2,10.0
2407,2021-11-21,4664,7071,4.1,7.0,3,12.9
1776,2021-11-22,5021,6797,4.6,8.2,53,19.6
1536,2021-11-23,4520,6056,-2.2,3.0,2,20.8
1759,2021-11-24,3934,5693,-1.2,2.7,1,11.3
