Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
6649,2023-07-03,7430,14079,27.7,31.1,3,35.8
11550,2023-07-04,8380,19930,26.2,29.9,3,24.2
5341,2023-07-05,8408,13749,25.1,28.9,3,29.6
5469,2023-07-06,8972,14441,25.6,28.3,51,24.7
5823,2023-07-07,8804,14627,23.4,25.3,1,26.2
7813,2023-07-08,8378,16191,24.4,27.5,3,17.1
6214,2023-07-09,7402,13616,25.0,28.2,2,16.5
5376,2023-07-10,9302,14678,25.8,28.8,3,19.5
5657,2023-07-11,10199,15856,24.9,27.9,2,21.3
5498,2023-07-12,10026,15524,26.4,29.2,0,21.7
5685,2023-07-13,9452,15137,27.3,30.0,0,16.9
5196,2023-07-14,8144,13340,28.5,31.2,0,13.8
8031,2023-07-15,8035,16066,28.5,32.1,1,24.8
6086,2023-07-16,7005,13091,29.9,34.2,3,33.2
5406,2023-07-17,8650,14056,29.5,32.8,2,27.1
5755,2023-07-18,10278,16033,32.0,34.3,2,26.0
5708,2023-07-19,9821,15529,30.5,34.6,2,30.8
6335,2023-07-20,10284,16619,31.2,34.7,3,23.7
7202,2023-07-21,9629,16831,30.0,32.8,3,19.4
9624,2023-07-22,8742,18366,29.6,32.4,2,30.0
7837,2023-07-23,7961,15798,28.5,31.1,51,39.3
5269,2023-07-24,9082,14351,29.0,30.3,51,16.8
5093,2023-07-25,9499,14592,28.4,29.1,0,18.4
5737,2023-07-26,10192,15929,29.6,30.9,1,21.0
5239,2023-07-27,9270,14509,30.0,32.1,3,20.6
5001,2023-07-28,8106,13107,27.3,29.5,51,35.4
6667,2023-07-29,7301,13968,23.4,24.2,3,17.4
7358,2023-07-30,8124,15482,27.5,28.7,2,27.1
5290,2023-07-31,9172,14462,27.7,28.7,1,18.1
5731,2023-08-01,10572,16303,28.8,30.7,0,13.4
5823,2023-08-02,10580,16403,27.5,30.1,3,32.8
4594,2023-08-03,8712,13306,27.4,29.2,0,15.8
6363,2023-08-04,9240,15603,28.9,30.8,2,14.0
8541,2023-08-05,8704,17245,29.6,32.0,2,23.5
6040,2023-08-06,6881,12921,26.4,28.2,3,26.0
3545,2023-08-07,6710,10255,25.0,25.6,3,18.3
5881,2023-08-08,10427,16308,26.4,28.9,0,15.8
5460,2023-08-09,9880,15340,28.4,30.4,0,13.5
4844,2023-08-10,8925,13769,29.0,31.4,3,25.7
6604,2023-08-11,9352,15956,26.7,28.3,2,22.7
7733,2023-08-12,8307,16040,26.6,30.3,2,29.0
6674,2023-08-13,7513,14187,25.5,30.3,2,29.0
3978,2023-08-14,7328,11306,23.5,28.9,3,27.7
4906,2023-08-15,9094,14000,22.8,26.6,0,30.9
6034,2023-08-16,10223,16257,23.3,24.9,2,11.5
5814,2023-08-17,9923,15737,22.3,24.3,2,20.2
6520,2023-08-18,9412,15932,24.4,26.3,1,13.6
8835,2023-08-19,8947,17782,27.2,29.1,2,19.2
6917,2023-08-20,7998,14915,26.1,29.1,2,23.6
5020,2023-08-21,8892,13912,27.0,30.2,3,16.1
5548,2023-08-22,10525,16073,27.9,30.8,3,22.5
5594,2023-08-23,10815,16409,24.3,26.4,3,23.4
5430,2023-08-24,10096,15526,21.0,22.7,51,26.8
4813,2023-08-25,8989,13802,21.3,23.2,51,25.0
7845,2023-08-26,9055,16900,18.1,21.2,51,38.5
6936,2023-08-27,8594,15530,21.5,23.8,2,26.8
4247,2023-08-28,8987,13234,20.2,22.4,51,35.7
4778,2023-08-29,10488,15266,21.0,23.2,0,18.9
5608,2023-08-30,11233,16841,23.3,24.7,0,12.3
5882,2023-08-31,11192,17074,25.5,27.2,1,18.0
6607,2023-09-01,9731,16338,25.9,28.6,0,19.2
8613,2023-09-02,8477,17090,24.6,27.7,1,18.5
7758,2023-09-03,7462,15220,24.0,26.8,1,18.7
5670,2023-09-04,7535,13205,20.9,24.4,51,31.2
4190,2023-09-05,10273,14463,21.2,24.6,0,20.7
4812,2023-09-06,10745,15557,22.1,25.1,2,20.2
4849,2023-09-07,10860,15709,22.4,25.6,1,19.6
5246,2023-09-08,10196,15442,22.5,25.9,2,19.1
5515,2023-09-09,7628,13143,23.8,26.8,1,16.9
5177,2023-09-10,8023,13200,24.4,26.8,1,8.7
4574,2023-09-11,10037,14611,24.0,26.4,0,13.5
4816,2023-09-12,11313,16129,24.1,27.4,0,29.8
5564,2023-09-13,11805,17369,22.7,27.0,0,33.0
5813,2023-09-14,11736,17549,21.9,25.2,0,13.2
5955,2023-09-15,10960,16915,22.9,26.3,0,23.2
8722,2023-09-16,9880,18602,22.5,25.4,2,16.1
4972,2023-09-17,7036,12008,22.2,24.8,51,18.4
4721,2023-09-18,9842,14563,20.4,23.4,3,16.8
5086,2023-09-19,11074,16160,19.6,22.5,1,15.5
4924,2023-09-20,11438,16362,19.3,22.6,53,26.2
5418,2023-09-21,11245,16663,18.8,21.6,3,23.8
5666,2023-09-22,10404,16070,12.9,16.4,61,29.5
1145,2023-09-23,2822,3967,12.7,14.8,1,20.3
3098,2023-09-24,6087,9185,13.4,15.3,1,15.2
3545,2023-09-25,9079,12624,13.4,15.4,3,13.5
3336,2023-09-26,9226,12562,14.0,16.2,1,10.7
5226,2023-09-27,11903,17129,15.2,17.9,3,14.7
5507,2023-09-28,11410,16917,15.8,18.7,51,20.4
6027,2023-09-29,10603,16630,14.4,18.3,3,31.0
8444,2023-09-30,10264,18708,13.4,16.4,51,26.3
7762,2023-10-01,9815,17577,15.1,17.2,3,12.6
5017,2023-10-02,10665,15682,14.5,17.9,2,22.4
5298,2023-10-03,11720,17018,14.7,18.0,1,13.0
5207,2023-10-04,12055,17262,15.3,18.0,1,13.7
5412,2023-10-05,11396,16808,15.8,18.8,2,11.9
5984,2023-10-06,10426,16410,16.0,19.7,3,19.9
6276,2023-10-07,8253,14529,14.9,18.0,1,14.1
6339,2023-10-08,7694,14033,15.4,18.2,3,14.6
4507,2023-10-09,8384,12891,13.9,17.4,3,26.0
4637,2023-10-10,11073,15710,13.4,16.0,3,19.5
5093,2023-10-11,11609,16702,14.1,17.0,1,17.1
5942,2023-10-12,11395,17337,13.9,16.8,1,11.4
6800,2023-10-13,10745,17545,13.5,17.5,1,26.1
2947,2023-10-14,5183,8130,12.1,16.0,0,14.0
5686,2023-10-15,8068,13754,12.7,16.2,3,15.7
4216,2023-10-16,9666,13882,12.1,16.0,3,16.6
4669,2023-10-17,10975,15644,10.7,15.0,3,20.8
4945,2023-10-18,11468,16413,8.7,13.2,3,19.5
5689,2023-10-19,11466,17155,8.8,13.3,2,18.5
4696,2023-10-20,8802,13498,8.0,12.1,1,15.3
8031,2023-10-21,9318,17349,9.2,12.9,1,15.6
6118,2023-10-22,8474,14592,8.6,12.4,2,12.3
4265,2023-10-23,10100,14365,11.1,14.8,3,16.2
5085,2023-10-24,11898,16983,10.0,13.6,0,13.9
5403,2023-10-25,12580,17983,8.9,12.4,1,11.8
5750,2023-10-26,12274,18024,9.3,12.9,2,11.3
6894,2023-10-27,11689,18583,11.0,14.7,1,15.0
9505,2023-10-28,10669,20174,10.6,13.9,2,11.5
7965,2023-10-29,9199,17164,9.6,12.9,1,10.8
4005,2023-10-30,9180,13185,10.4,13.8,1,13.5
4072,2023-10-31,10630,14702,11.0,16.5,2,40.1
3179,2023-11-01,9533,12712,9.2,14.8,3,28.1
3687,2023-11-02,9637,13324,5.7,10.3,2,22.2
4879,2023-11-03,9356,14235,5.2,9.0,0,10.5
8308,2023-11-04,10012,18320,5.1,9.3,0,16.9
6791,2023-11-05,8656,15447,4.0,7.1,1,6.6
4095,2023-11-06,9749,13844,4.6,7.9,1,10.9
4457,2023-11-07,11281,15738,4.0,7.5,1,11.4
4236,2023-11-08,11112,15348,4.9,8.3,1,8.9
4471,2023-11-09,10478,14949,3.6,7.7,51,12.3
2600,2023-11-10,5890,8490,0.6,4.7,3,22.8
6719,2023-11-11,8295,15014,0.8,4.7,1,14.5
4442,2023-11-12,6911,11353,0.9,4.5,0,10.3
3458,2023-11-13,9175,12633,0.8,5.0,1,12.9
4254,2023-11-14,10309,14563,-0.2,4.2,0,16.3
3912,2023-11-15,10572,14484,-1.4,2.4,0,9.2
4380,2023-11-16,10743,15123,-1.8,2.0,0,8.8
4866,2023-11-17,9954,14820,-1.0,2.8,1,7.1
5767,2023-11-18,8155,13922,0.5,4.4,3,9.2
4791,2023-11-19,7164,11955,0.6,4.6,1,10.3
2963,2023-11-20,7865,10828,0.5,5.0,0,15.7
825,2023-11-21,2861,3686,-1.0,3.2,0,10.7
3087,2023-11-22,6383,9470,-1.6,2.5,0,9.1
2792,2023-11-23,3343,6135,-1.4,3.3,2,17.4
3296,2023-11-24,4325,7621,-2.3,1.9,1,10.9
2922,2023-11-25,4537,7459,-2.0,1.8,1,9.8
1551,2023-11-26,3731,5282,-1.1,2.6,2,10.2
2122,2023-11-27,7575,9697,-2.5,1.3,1,9.2
1937,2023-11-28,7576,9513,-2.1,1.9,1,11.5
2161,2023-11-29,7920,10081,-3.2,1.0,2,9.5
3074,2023-11-30,9481,12555,-3.0,0.9,3,8.9
2261,2023-12-01,6570,8831,-3.3,0.6,2,11.0
4994,2023-12-02,8256,13250,-4.1,-0.3,1,8.2
2750,2023-12-03,6069,8819,-4.9,-0.8,1,9.7
2853,2023-12-04,8771,11624,-1.4,2.8,0,15.2
2969,2023-12-05,9247,12216,-2.8,1.5,0,12.8
2688,2023-12-06,8738,11426,-2.6,1.4,1,11.5
2739,2023-12-07,8488,11227,1.3,5.9,1,15.6
3708,2023-12-08,8764,12472,-2.5,1.3,3,9.8
5162,2023-12-09,8350,13512,-2.7,1.6,2,12.4
1326,2023-12-10,3230,4556,-4.7,0.1,3,19.4
2171,2023-12-11,7287,9458,-7.3,-3.2,1,11.5
2597,2023-12-12,8492,11089,-1.3,4.4,3,26.2
2927,2023-12-13,8455,11382,-6.8,-1.0,3,27.0
2907,2023-12-14,7884,10791,-11.9,-6.8,3,13.2
3552,2023-12-15,8231,11783,-12.5,-8.2,3,10.4
4696,2023-12-16,7576,12272,-12.9,-8.7,3,8.7
2044,2023-12-17,3976,6020,-11.5,-7.4,0,10.9
2381,2023-12-18,6703,9084,-11.3,-7.1,1,10.9
2218,2023-12-19,6791,9009,-11.7,-7.7,3,7.2
2377,2023-12-20,6919,9296,-10.6,-6.5,3,8.7
2317,2023-12-21,6206,8523,-10.7,-6.3,0,13.0
2393,2023-12-22,5197,7590,-10.9,-6.8,1,8.3
2150,2023-12-23,4101,6251,-10.2,-6.1,1,9.8
1518,2023-12-24,2933,4451,-9.2,-5.2,1,10.1
2072,2023-12-25,2263,4335,-8.9,-4.7,1,12.7
1090,2023-12-26,2607,3697,-8.9,-4.8,1,9.4
646,2023-12-27,1934,2580,-8.6,-4.3,71,10.1
3099,2023-12-28,4819,7918,-7.0,-2.5,0,12.8
3491,2023-12-29,5168,8659,-7.8,-3.9,1,9.5
3097,2023-12-30,4497,7594,-7.3,-2.9,1,13.8
2839,2023-12-31,4488,7327,-8.9,-4.6,0,10.2
